Camera_Site_ID,Latitude,Longitude,TotalCoyotes,TotalCats,OBJECTID,Join_Count,TARGET_FID,COUNTY,POP_INC,INC_0_P,INC_50_P,INC_100_P,INC_125_P,INC_150_P,INC_185_P,INC_200_P,LOW_INC_P,OBJECTID_1,Join_Count_1,TARGET_FID_1,COUNTY_1,POP,WHITE_A_P,BLACK_A_P,AIAN_A_P,ASIAN_A_P,NHPI_A_P,OTHER_A_P,MULTI_P,WHITE_NH_P,BLACK_NH_P,AIAN_NH_P,ASIAN_NH_P,NHPI_NH_P,OTHER_NH_P,MULTI_NH_P,HISPANIC_P,WHITE_C_P,BLACK_C_P,AIAN_C_P,ASIAN_C_P,NHPI_C_P,OTHER_C_P,POC_P,OBJECTID_12,Join_Count_12,TARGET_FID_12,COUNTY_12,POP_1,AGE_0_P,AGE_5_P,AGE_18_P,AGE_35_P,AGE_65_P,AGE_75_P,MALE_P,FEMALE_P,POP_C_1,OBJECTID_12_13,Join_Count_12_13,COUNTY_12_13,POP_25,ED_LT_HS_P,ED_HS_P,ED_ASSOC_P,ED_BACH_P,ED_GRAD_P,AREA_12_13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
